"","scientific_name","order_name","family_name","genus_name","category","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","Mass.g","functional_group","accepted_spp_name","combined_fn_group","combined_body_mass","phyl_eltonian_ftn_gp"
"1","Abrocoma boliviensis","RODENTIA","ABROCOMIDAE","Abrocoma","CR",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,158,"Herbivore_terrestrial","Abrocoma boliviensis","Herbivore_terrestrial",158,"Herbivore"
"2","Acerodon celebensis","CHIROPTERA","PTEROPODIDAE","Acerodon","VU",0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,390,"Herbivore_terrestrial","Acerodon celebensis","Herbivore_terrestrial",390,"FruitNectSeed"
"3","Acerodon humilis","CHIROPTERA","PTEROPODIDAE","Acerodon","EN",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,599.6,"Herbivore_terrestrial","Acerodon humilis","Herbivore_terrestrial",599.6,"FruitNectSeed"
"4","Acerodon jubatus","CHIROPTERA","PTEROPODIDAE","Acerodon","EN",0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1075,"Herbivore_terrestrial","Acerodon jubatus","Herbivore_terrestrial",1075,"FruitNectSeed"
"5","Acerodon leucotis","CHIROPTERA","PTEROPODIDAE","Acerodon","VU",0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,513.2,"Herbivore_terrestrial","Acerodon leucotis","Herbivore_terrestrial",513.2,"FruitNectSeed"
"6","Acerodon mackloti","CHIROPTERA","PTEROPODIDAE","Acerodon","VU",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,470.3,"Herbivore_terrestrial","Acerodon mackloti","Herbivore_terrestrial",470.3,"FruitNectSeed"
"7","Acinonyx jubatus","CARNIVORA","FELIDAE","Acinonyx","VU",0,2,2,2,2,1,0,0,2,1,2,1,2,0,0,1,46700,"Vertivore","Acinonyx jubatus","Vertivore",46700,"Vertivore"
"8","Acomys cahirinus","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,"Herbivore_terrestrial","Acomys cahirinus","Herbivore_terrestrial",52.5,"Herbivore"
"9","Acomys cilicicus","RODENTIA","MURIDAE","Acomys","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,"Herbivore_terrestrial","Acomys cilicicus","Herbivore_terrestrial",42.5,"Herbivore"
"10","Acomys cineraceus","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,"Invertivore","Acomys cineraceus","Invertivore",20.3,"Invertivore"
"11","Acomys ignitus","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"Herbivore_terrestrial","Acomys ignitus","Herbivore_terrestrial",24,"Herbivore"
"12","Acomys kempi","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"Herbivore_terrestrial","Acomys kempi","Herbivore_terrestrial",22,"Herbivore"
"13","Acomys louisae","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,"Herbivore_terrestrial","Acomys louisae","Herbivore_terrestrial",20.2,"Herbivore"
"14","Acomys minous","RODENTIA","MURIDAE","Acomys","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,"Herbivore_terrestrial","Acomys minous","Herbivore_terrestrial",62.5,"Herbivore"
"15","Acomys mullah","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,"Herbivore_terrestrial","Acomys mullah","Herbivore_terrestrial",28.4,"Herbivore"
"16","Acomys nesiotes","RODENTIA","MURIDAE","Acomys","DD",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52.5,"Herbivore_terrestrial","Acomys nesiotes","Herbivore_terrestrial",52.5,"Herbivore"
"17","Acomys percivali","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"Herbivore_terrestrial","Acomys percivali","Herbivore_terrestrial",22,"Herbivore"
"18","Acomys russatus","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8,"Omnivore","Acomys russatus","Omnivore",49.8,"Omnivore"
"19","Acomys subspinosus","RODENTIA","MURIDAE","Acomys","LC",0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,21,"Herbivore_terrestrial","Acomys subspinosus","Herbivore_terrestrial",21,"Herbivore"
"20","Acomys wilsoni","RODENTIA","MURIDAE","Acomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,"Herbivore_terrestrial","Acomys wilsoni","Herbivore_terrestrial",18.5,"Herbivore"
"21","Aconaemys fuscus","RODENTIA","OCTODONTIDAE","Aconaemys","LC",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,133.5,"Herbivore_terrestrial","Aconaemys fuscus","Herbivore_terrestrial",133.5,"Herbivore"
"22","Aconaemys sagei","RODENTIA","OCTODONTIDAE","Aconaemys","DD",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96.5,"Herbivore_terrestrial","Aconaemys sagei","Herbivore_terrestrial",96.5,"Herbivore"
"23","Addax nasomaculatus","ARTIODACTYLA","BOVIDAE","Addax","CR",0,1,0,0,0,0,0,0,3,0,2,0,1,0,0,0,70000.3,"Herbivore_terrestrial","Addax nasomaculatus","Herbivore_terrestrial",70000.3,"Herbivore"
"24","Handleyomys fuscatus","RODENTIA","CRICETIDAE","Handleyomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5,"Herbivore_terrestrial","Handleyomys fuscatus","Herbivore_terrestrial",49.5,"Herbivore"
"25","Aepeomys lugens","RODENTIA","CRICETIDAE","Aepeomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,"Herbivore_terrestrial","Aepeomys lugens","Herbivore_terrestrial",37,"FruitNectSeed"
"26","Aepyceros melampus","ARTIODACTYLA","BOVIDAE","Aepyceros","LC",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,52500.1,"Herbivore_terrestrial","Aepyceros melampus","Herbivore_terrestrial",52500.1,"Herbivore"
"27","Aeretes melanopterus","RODENTIA","SCIURIDAE","Aeretes","NT",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,732.4,"Herbivore_terrestrial","Aeretes melanopterus","Herbivore_terrestrial",732.4,"FruitNectSeed"
"28","Aeromys tephromelas","RODENTIA","SCIURIDAE","Aeromys","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,"Herbivore_terrestrial","Aeromys tephromelas","Herbivore_terrestrial",1075,"FruitNectSeed"
"29","Aeromys thomasi","RODENTIA","SCIURIDAE","Aeromys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,"Herbivore_terrestrial","Aeromys thomasi","Herbivore_terrestrial",1435,"FruitNectSeed"
"30","Aethalops alecto","CHIROPTERA","PTEROPODIDAE","Aethalops","LC",0,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,15,"Herbivore_terrestrial","Aethalops alecto","Herbivore_terrestrial",15,"FruitNectSeed"
"31","Aethomys silindensis","RODENTIA","MURIDAE","Aethomys","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6,"Herbivore_terrestrial","Aethomys silindensis","Herbivore_terrestrial",107.6,"Herbivore"
"32","Aethomys bocagei","RODENTIA","MURIDAE","Aethomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6,"Herbivore_terrestrial","Aethomys bocagei","Herbivore_terrestrial",107.6,"Herbivore"
"33","Aethomys chrysophilus","RODENTIA","MURIDAE","Aethomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.9,"Herbivore_terrestrial","Aethomys chrysophilus","Herbivore_terrestrial",74.9,"Herbivore"
"34","Micaelamys granti","RODENTIA","MURIDAE","Micaelamys","LC",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,"Herbivore_terrestrial","Micaelamys granti","Herbivore_terrestrial",40,"Herbivore"
"35","Aethomys hindei","RODENTIA","MURIDAE","Aethomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.5,"Herbivore_terrestrial","Aethomys hindei","Herbivore_terrestrial",103.5,"Herbivore"
"36","Aethomys kaiseri","RODENTIA","MURIDAE","Aethomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,"Herbivore_terrestrial","Aethomys kaiseri","Herbivore_terrestrial",90,"Herbivore"
"37","Micaelamys namaquensis","RODENTIA","MURIDAE","Micaelamys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6,"Herbivore_terrestrial","Micaelamys namaquensis","Herbivore_terrestrial",50.6,"Herbivore"
"38","Aethomys nyikae","RODENTIA","MURIDAE","Aethomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,"Herbivore_terrestrial","Aethomys nyikae","Herbivore_terrestrial",77,"Herbivore"
"39","Aethomys stannarius","RODENTIA","MURIDAE","Aethomys","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6,"Herbivore_terrestrial","Aethomys stannarius","Herbivore_terrestrial",107.6,"Herbivore"
"40","Aethomys thomasi","RODENTIA","MURIDAE","Aethomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6,"Herbivore_terrestrial","Aethomys thomasi","Herbivore_terrestrial",107.6,"Herbivore"
"41","Cuniculus paca","RODENTIA","CUNICULIDAE","Cuniculus","LC",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8000,"Herbivore_terrestrial","Cuniculus paca","Herbivore_terrestrial",8000,"Herbivore"
"42","Cuniculus taczanowskii","RODENTIA","CUNICULIDAE","Cuniculus","NT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8999.9,"Herbivore_terrestrial","Cuniculus taczanowskii","Herbivore_terrestrial",8999.9,"Herbivore"
"43","Ailuropoda melanoleuca","CARNIVORA","URSIDAE","Ailuropoda","VU",0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,108400,"Herbivore_terrestrial","Ailuropoda melanoleuca","Herbivore_terrestrial",108400,"Herbivore"
"44","Ailurus fulgens","CARNIVORA","AILURIDAE","Ailurus","EN",0,0,0,2,0,1,0,0,1,0,1,1,1,1,0,1,4900,"Herbivore_terrestrial","Ailurus fulgens","Herbivore_terrestrial",4900,"Herbivore"
"45","Akodon aerosus","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,"Invertivore","Akodon aerosus","Invertivore",60,"Invertivore"
"46","Akodon affinis","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,"Invertivore","Akodon affinis","Invertivore",24.9,"Invertivore"
"47","Akodon albiventer","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,"Invertivore","Akodon albiventer","Invertivore",21.8,"Invertivore"
"48","Akodon azarae","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"Invertivore","Akodon azarae","Invertivore",25,"Invertivore"
"49","Neomicroxus bogotensis","RODENTIA","CRICETIDAE","Neomicroxus","LC",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,"Invertivore","Neomicroxus bogotensis","Invertivore",13,"Invertivore"
"50","Akodon boliviensis","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,"Invertivore","Akodon boliviensis","Invertivore",27.5,"Invertivore"
"51","Akodon budini","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,"Invertivore","Akodon budini","Invertivore",26.9,"Invertivore"
"52","Akodon cursor","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9,"Invertivore","Akodon cursor","Invertivore",39.9,"Invertivore"
"53","Akodon dayi","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,"Invertivore","Akodon dayi","Invertivore",32.5,"Invertivore"
"54","Akodon fumeus","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,"Invertivore","Akodon fumeus","Invertivore",22.7,"Invertivore"
"55","Abrothrix illutea","RODENTIA","CRICETIDAE","Abrothrix","LC",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,47.8,"Invertivore","Abrothrix illutea","Invertivore",47.8,"Invertivore"
"56","Akodon iniscatus","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7,"Invertivore","Akodon iniscatus","Invertivore",28.7,"Invertivore"
"57","Akodon juninensis","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"Invertivore","Akodon juninensis","Invertivore",39,"Invertivore"
"58","Deltamys kempi","RODENTIA","CRICETIDAE","Deltamys","LC",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26.4,"Herbivore_terrestrial","Deltamys kempi","Herbivore_terrestrial",26.4,"FruitNectSeed"
"59","Akodon kofordi","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,"Invertivore","Akodon kofordi","Invertivore",29.5,"Invertivore"
"60","Abrothrix lanosus","RODENTIA","CRICETIDAE","Abrothrix","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,"Herbivore_terrestrial","Abrothrix lanosus","Herbivore_terrestrial",32.5,"Herbivore"
"61","Neomicroxus latebricola","RODENTIA","CRICETIDAE","Neomicroxus","EN",0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,39,"Invertivore","Neomicroxus latebricola","Invertivore",39,"Invertivore"
"62","Akodon lindberghi","RODENTIA","CRICETIDAE","Akodon","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4,"Invertivore","Akodon lindberghi","Invertivore",26.4,"Invertivore"
"63","Abrothrix longipilis","RODENTIA","CRICETIDAE","Abrothrix","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6,"Invertivore","Abrothrix longipilis","Invertivore",37.6,"Invertivore"
"64","Akodon mimus","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"Invertivore","Akodon mimus","Invertivore",24,"Invertivore"
"65","Akodon molinae","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"Invertivore","Akodon molinae","Invertivore",33,"Invertivore"
"66","Akodon mollis","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,"Invertivore","Akodon mollis","Invertivore",30.4,"Invertivore"
"67","Thaptomys nigrita","RODENTIA","CRICETIDAE","Thaptomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,"Invertivore","Thaptomys nigrita","Invertivore",19.9,"Invertivore"
"68","Abrothrix olivaceus","RODENTIA","CRICETIDAE","Abrothrix","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"Invertivore","Abrothrix olivaceus","Invertivore",27,"Invertivore"
"69","Akodon orophilus","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"Invertivore","Akodon orophilus","Invertivore",39,"Invertivore"
"70","Akodon lutescens","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,"Invertivore","Akodon lutescens","Invertivore",20.7,"Invertivore"
"71","Abrothrix sanborni","RODENTIA","CRICETIDAE","Abrothrix","NT",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.7,"Invertivore","Abrothrix sanborni","Invertivore",24.7,"Invertivore"
"72","Akodon sanctipaulensis","RODENTIA","CRICETIDAE","Akodon","DD",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27.1,"Invertivore","Akodon sanctipaulensis","Invertivore",27.1,"Invertivore"
"73","Akodon serrensis","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,"Invertivore","Akodon serrensis","Invertivore",28.3,"Invertivore"
"74","Akodon siberiae","RODENTIA","CRICETIDAE","Akodon","NT",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34.6,"Invertivore","Akodon siberiae","Invertivore",34.6,"Invertivore"
"75","Akodon simulator","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,"Invertivore","Akodon simulator","Invertivore",42.5,"Invertivore"
"76","Akodon subfuscus","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,"Invertivore","Akodon subfuscus","Invertivore",30.4,"Invertivore"
"77","Akodon surdus","RODENTIA","CRICETIDAE","Akodon","VU",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,39,"Invertivore","Akodon surdus","Invertivore",39,"Invertivore"
"78","Akodon sylvanus","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"Invertivore","Akodon sylvanus","Invertivore",39,"Invertivore"
"79","Akodon toba","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2,"Invertivore","Akodon toba","Invertivore",51.2,"Invertivore"
"80","Akodon torques","RODENTIA","CRICETIDAE","Akodon","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"Invertivore","Akodon torques","Invertivore",39,"Invertivore"
"81","Necromys urichi","RODENTIA","CRICETIDAE","Necromys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,"Herbivore_terrestrial","Necromys urichi","Herbivore_terrestrial",34,"Omnivore"
"82","Akodon varius","RODENTIA","CRICETIDAE","Akodon","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"Invertivore","Akodon varius","Invertivore",40,"Invertivore"
"83","Alcelaphus buselaphus","ARTIODACTYLA","BOVIDAE","Alcelaphus","LC",0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,171001.5,"Herbivore_terrestrial","Alcelaphus buselaphus","Herbivore_terrestrial",171001.5,"Herbivore"
"84","Alionycteris paucidentata","CHIROPTERA","PTEROPODIDAE","Alionycteris","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,"Herbivore_terrestrial","Alionycteris paucidentata","Herbivore_terrestrial",16.2,"FruitNectSeed"
"85","Allactaga tetradactyla","RODENTIA","DIPODIDAE","Allactaga","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,"Herbivore_terrestrial","Allactaga tetradactyla","Herbivore_terrestrial",52,"FruitNectSeed"
"86","Allactaga balikunica","RODENTIA","DIPODIDAE","Allactaga","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,"Herbivore_terrestrial","Allactaga balikunica","Herbivore_terrestrial",72.5,"FruitNectSeed"
"87","Allactaga bullata","RODENTIA","DIPODIDAE","Allactaga","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,"Herbivore_terrestrial","Allactaga bullata","Herbivore_terrestrial",87,"FruitNectSeed"
"88","Scarturus euphratica","RODENTIA","DIPODIDAE","Scarturus","LC",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,70,"Herbivore_terrestrial","Scarturus euphratica","Herbivore_terrestrial",70,"Omnivore"
"89","Allactaga firouzi","RODENTIA","DIPODIDAE","Allactaga","DD",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,98.6,"Herbivore_terrestrial","Allactaga firouzi","Herbivore_terrestrial",98.6,"FruitNectSeed"
"90","Allactaga hotsoni","RODENTIA","DIPODIDAE","Allactaga","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,"Herbivore_terrestrial","Allactaga hotsoni","Herbivore_terrestrial",76.5,"FruitNectSeed"
"91","Allactaga major","RODENTIA","DIPODIDAE","Allactaga","LC",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,350,"Herbivore_terrestrial","Allactaga major","Herbivore_terrestrial",350,"FruitNectSeed"
"92","Allactaga severtzovi","RODENTIA","DIPODIDAE","Allactaga","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,"Herbivore_terrestrial","Allactaga severtzovi","Herbivore_terrestrial",159,"FruitNectSeed"
"93","Allactaga sibirica","RODENTIA","DIPODIDAE","Allactaga","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,"Invertivore","Allactaga sibirica","Invertivore",97.5,"Invertivore"
"94","Scarturus vinogradovi","RODENTIA","DIPODIDAE","Scarturus","LC",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75.2,"Herbivore_terrestrial","Scarturus vinogradovi","Herbivore_terrestrial",75.2,"Omnivore"
"95","Allactodipus bobrinskii","RODENTIA","DIPODIDAE","Allactodipus","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,"Herbivore_terrestrial","Allactodipus bobrinskii","Herbivore_terrestrial",70,"FruitNectSeed"
"96","Allenopithecus nigroviridis","PRIMATES","CERCOPITHECIDAE","Allenopithecus","LC",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4750,"Omnivore","Allenopithecus nigroviridis","Omnivore",4750,"Omnivore"
"97","Allocebus trichotis","PRIMATES","CHEIROGALEIDAE","Allocebus","EN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,"Herbivore_terrestrial","Allocebus trichotis","Herbivore_terrestrial",77.5,"Herbivore"
"98","Allocricetulus eversmanni","RODENTIA","CRICETIDAE","Allocricetulus","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.6,"Herbivore_terrestrial","Allocricetulus eversmanni","Herbivore_terrestrial",115.6,"FruitNectSeed"
"99","Vulpes lagopus","CARNIVORA","CANIDAE","Vulpes","LC",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4867.7,"Aquatic_predator","Vulpes lagopus","Aquatic_predator",4867.7,"Aquatic_predator"
"100","Alouatta pigra","PRIMATES","ATELIDAE","Alouatta","EN",0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,7000,"Herbivore_terrestrial","Alouatta pigra","Herbivore_terrestrial",7000,"Herbivore"
"101","Alouatta ululata","PRIMATES","ATELIDAE","Alouatta","EN",0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,6682.1,"Herbivore_terrestrial","Alouatta ululata","Herbivore_terrestrial",6682.1,"Omnivore"
"102","Alouatta juara","PRIMATES","ATELIDAE","Alouatta","LC",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6145.5,"Herbivore_terrestrial","Alouatta juara","Herbivore_terrestrial",6145.5,"Omnivore"
"103","Alticola albicaudus","RODENTIA","CRICETIDAE","Alticola","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"Herbivore_terrestrial","Alticola albicaudus","Herbivore_terrestrial",31,"Herbivore"
"104","Alticola argentatus","RODENTIA","CRICETIDAE","Alticola","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7,"Herbivore_terrestrial","Alticola argentatus","Herbivore_terrestrial",37.7,"Herbivore"
"105","Alticola barakshin","RODENTIA","CRICETIDAE","Alticola","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,"Herbivore_terrestrial","Alticola barakshin","Herbivore_terrestrial",35,"Herbivore"
"106","Alticola lemminus","RODENTIA","CRICETIDAE","Alticola","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,"Herbivore_terrestrial","Alticola lemminus","Herbivore_terrestrial",15.5,"Herbivore"
"107","Alticola macrotis","RODENTIA","CRICETIDAE","Alticola","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"Herbivore_terrestrial","Alticola macrotis","Herbivore_terrestrial",36,"Herbivore"
"108","Alticola montosa","RODENTIA","CRICETIDAE","Alticola","VU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,"Herbivore_terrestrial","Alticola montosa","Herbivore_terrestrial",19.7,"Herbivore"
"109","Alticola roylei","RODENTIA","CRICETIDAE","Alticola","NT",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,37,"Herbivore_terrestrial","Alticola roylei","Herbivore_terrestrial",37,"Herbivore"
"110","Alticola semicanus","RODENTIA","CRICETIDAE","Alticola","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,"Herbivore_terrestrial","Alticola semicanus","Herbivore_terrestrial",53.2,"Herbivore"
"111","Alticola stoliczkanus","RODENTIA","CRICETIDAE","Alticola","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,"Herbivore_terrestrial","Alticola stoliczkanus","Herbivore_terrestrial",27.5,"Herbivore"
"112","Alticola strelzowi","RODENTIA","CRICETIDAE","Alticola","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"Herbivore_terrestrial","Alticola strelzowi","Herbivore_terrestrial",50,"Herbivore"
"113","Alticola tuvinicus","RODENTIA","CRICETIDAE","Alticola","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2,"Herbivore_terrestrial","Alticola tuvinicus","Herbivore_terrestrial",33.2,"Herbivore"
"114","Neamblysomus gunningi","AFROSORICIDA","CHRYSOCHLORIDAE","Neamblysomus","EN",0,0,0,2,0,0,0,0,1,0,1,1,1,1,0,0,28.1,"Invertivore","Neamblysomus gunningi","Invertivore",28.1,"Invertivore"
"115","Neamblysomus julianae","AFROSORICIDA","CHRYSOCHLORIDAE","Neamblysomus","EN",0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,22,"Invertivore","Neamblysomus julianae","Invertivore",22,"Invertivore"
"116","Ametrida centurio","CHIROPTERA","PHYLLOSTOMIDAE","Ametrida","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,"Herbivore_terrestrial","Ametrida centurio","Herbivore_terrestrial",10.3,"FruitNectSeed"
"117","Ammodillus imbellis","RODENTIA","MURIDAE","Ammodillus","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"Herbivore_terrestrial","Ammodillus imbellis","Herbivore_terrestrial",50,"Herbivore"
"118","Ammodorcas clarkei","ARTIODACTYLA","BOVIDAE","Ammodorcas","VU",0,2,1,0,0,0,0,0,2,0,2,1,0,0,0,0,28049.8,"Herbivore_terrestrial","Ammodorcas clarkei","Herbivore_terrestrial",28049.8,"Herbivore"
"119","Ammospermophilus nelsoni","RODENTIA","SCIURIDAE","Ammospermophilus","EN",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,160.4,"Herbivore_terrestrial","Ammospermophilus nelsoni","Herbivore_terrestrial",160.4,"FruitNectSeed"
