"","scientific_name","order_name","family_name","genus_name","category","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","Mass.g","functional_group","accepted_spp_name","combined_fn_group","combined_body_mass","phyl_eltonian_ftn_gp"
"5066","Sorex veraecrucis","EULIPOTYPHLA","SORICIDAE","Sorex","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,"Invertivore","Sorex veraecrucis","Invertivore",7.6,"Invertivore"
"5067","Dendrolagus stellarum","DIPROTODONTIA","MACROPODIDAE","Dendrolagus","VU",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8666.7,"Herbivore_terrestrial","Dendrolagus stellarum","Herbivore_terrestrial",8666.7,"Herbivore"
"5068","Oxymycterus dasytrichus","RODENTIA","CRICETIDAE","Oxymycterus","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,"Invertivore","Oxymycterus dasytrichus","Invertivore",52.1,"Invertivore"
"5069","Plecturocebus aureipalatii","PRIMATES","PITHECIIDAE","Plecturocebus","LC",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,950,"Herbivore_terrestrial","Plecturocebus aureipalatii","Herbivore_terrestrial",950,"Omnivore"
"5070","Apodemus epimelas","RODENTIA","MURIDAE","Apodemus","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,"Herbivore_terrestrial","Apodemus epimelas","Herbivore_terrestrial",42,"Herbivore"
"5071","Kerivoula titania","CHIROPTERA","VESPERTILIONIDAE","Kerivoula","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,"Invertivore","Kerivoula titania","Invertivore",4.6,"Invertivore"
"5072","Melomys dollmani","RODENTIA","MURIDAE","Melomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.7,"Herbivore_terrestrial","Melomys dollmani","Herbivore_terrestrial",77.7,"FruitNectSeed"
"5073","Hipposideros khaokhouayensis","CHIROPTERA","HIPPOSIDERIDAE","Hipposideros","VU",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8.7,"Invertivore","Hipposideros khaokhouayensis","Invertivore",8.7,"Invertivore"
"5074","Neoromicia malagasyensis","CHIROPTERA","VESPERTILIONIDAE","Neoromicia","VU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,"Invertivore","Neoromicia malagasyensis","Invertivore",6.5,"Invertivore"
"5075","Reithrodontomys bakeri","RODENTIA","CRICETIDAE","Reithrodontomys","EN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,"Herbivore_terrestrial","Reithrodontomys bakeri","Herbivore_terrestrial",25.8,"Omnivore"
