"","accpt_name","other_name"
"467","Ozimops planiceps","Mormopterus planiceps"
"468","Ozimops planiceps","Nyctinomus planiceps"
"469","Ozimops planiceps","Tadarida planiceps"
"470","Micronomus norfolkensis","Molossus norfolkensis"
"471","Micronomus norfolkensis","Mormopterus norfolkensis"
"472","Coleura kibomalandy","Coleura afra"
"473","Hipposideros ater","Hipposideros nicobarulae"
"474","Paratriaenops furcula","Triaenops furculus"
"475","Paratriaenops pauliani","Triaenops furculus"
"476","Paratriaenops pauliani","Triaenops pauliani"
"477","Cebus imitator","Cebus capucinus"
"478","Cebus kaapori","Cebus olivaceus"
"479","Cebus castaneus","Cebus olivaceus"
"480","Cebus brunneus","Cebus olivaceus"
"481","Cebus olivaceus","Cebus olivaceus"
"482","Miniopterus mahafaliensis","Miniopterus manavi"
"483","Miniopterus aelleni","Miniopterus manavi"
"484","Miniopterus ambohitrensis","Miniopterus aelleni"
"485","Miniopterus griffithsi","Miniopterus gleni"
"486","Miniopterus ambohitrensis","Miniopterus aelleni"
"487","Miniopterus ambohitrensis","Miniopterus manavi"
"488","Miniopterus egeri","Miniopterus manavi"
"489","Miniopterus egeri","Miniopterus petersoni"
"490","Sousa plumbea","Delphinus plumbeus"
"491","Ozimops loriae","Mormopterus loriae"
"492","Ozimops loriae","Nyctinomus loriae"
"493","Rhinolophus belligerator","Rhinolophus arcuatus proconsulis"
"494","Rhinolophus arcuatus","Rhinolophus mcintyrei"
"495","Rhinolophus mcintyrei","Rhinolophus arcuatus"
"496","Rhinolophus mcintyrei","Rhinolophus arcuatus mcintyrei"
"497","Rhinolophus arcuatus","Rhinolophus proconsulis"
"498","Rhinolophus proconsulis","Rhinolophus arcuatus"
"499","Rhinolophus proconsulis","Rhinolophus arcuatus proconsulis"
"500","Rhinolophus tatar","Rhinolophus euryotis"
"501","Rhinolophus siamensis","Rhinolophus huananus"
"502","Rhinolophus microglobosus","Rhinolophus stheno microglobosus"
"503","Balionycteris seimundi","Balionycteris maculata"
"504","Casinycteris campomaanensis","Scotonycteris ophiodon"
"505","Dyacopterus rickarti","Dyacopterus spadiceus"
"506","Pteropus pelagicus","Pteropus insularis"
"507","Pteropus pelagicus","Pteropus phaeocephalus"
"508","Hypsugo bemainty","Hypsugo anchietae"
"509","Hypsugo bemainty","Hypsugo anchietae"
"510","Nyctophilus corbeni","Nyctophilus timoriensis"
"511","Nyctophilus shirleyae","Nyctophilus timoriensis"
"512","Pipistrellus aladdin","Pipistrellus pipistrellus"
"513","Myotis petax","Myotis abei"
"514","Plecotus kozlovi","Plecotus mordax"
"515","Plecotus homochrous","Plecotus puck"
"516","Submyotodon latirostris","Myotis latirostris"
"517","Submyotodon latirostris","Myotis latirostris"
"518","Submyotodon latirostris","Myotis latirostris"
"519","Submyotodon latirostris","Myotis muricola latirostris"
"520","Submyotodon latirostris","Myotis muricola latirostris"
"521","Submyotodon latirostris","Myotis muricola orii"
"522","Submyotodon latirostris","Myotis mystacinus latirostris"
"523","Myotis sibiricus","Myotis brandtii ssp. gracilis"
"524","Myotis sibiricus","Myotis mystacinus ssp. gracilis"
"525","Myotis montivagus","Myotis peytoni"
"526","Hipposideros tephrus","Hipposideros Hipposideros caffer tephrus"
"527","Myotis escalerai","Myotis escalerae"
"528","Myotis rufoniger","Myotis chofukusei"
"529","Myotis rufoniger","Myotis formosus chofukusei"
"530","Myotis rufoniger","Myotis formosus rufoniger"
"531","Myotis rufoniger","Myotis formosus tsuensis"
"532","Myotis rufoniger","Myotis formosus tsuensis"
"533","Myotis rufoniger","Myotis formosus watasei"
"534","Myotis rufoniger","Myotis formosus watasei"
"535","Myotis rufoniger","Myotis tsuensis"
"536","Myotis rufoniger","Vespertilio rufo-niger"
"537","Myotis weberi","Kerivoula weberi"
"538","Myotis weberi","Myotis formosus"
"539","Myotis weberi","Myotis formosus weberi"
"540","Myotis weberi","Myotis weberi"
"541","Pipistrellus grandidieri","Eptesicus flavescens"
"542","Pipistrellus grandidieri","Eptesicus (Neoromicia) flavescens"
"543","Pipistrellus grandidieri","Neoromicia flavescens"
"544","Pipistrellus grandidieri","Pipistrellus (Afropipistrellus) grandidieri"
"545","Pipistrellus grandidieri","Vesperugo (Vesperus) flavescens"
"546","Chiroderma vizottoi","Chiroderma vizzotoi"
"547","Anoura aequatoris","Anoura caudifer"
"548","Anoura aequatoris","Lonchoglossa wiedi"
"549","Anoura peruana","Anoura geoffroyi"
"550","Anoura peruana","Rhinchonycteris peruana"
