,taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
980,7919,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,Vespadelus caurinus,"(Thomas, 1914)",NA,NA,NA,LC,Northern Cave Bat
981,7920,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,Vespadelus darlingtoni,"(Allen, 1933)",NA,NA,NA,LC,Large Forest Bat
982,7921,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus dimissus,"Thomas, 1916",NA,NA,NA,DD,Surat Serotine
983,7922,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus diminutus,"Osgood, 1915",NA,NA,NA,LC,Diminutive Serotine
984,7923,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,Vespadelus douglasorum,"(Kitchener, 1976)",NA,NA,NA,LC,Yellow-lipped Cave Bat
985,7924,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,Vespadelus finlaysoni,"(Kitchener, Jones &amp; Caputi, 1987)",NA,NA,NA,LC,Finlayson's Cave Bat
986,7926,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus floweri,"(de Winton, 1901)",NA,NA,NA,LC,Horn-skinned Bat
987,7927,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus furinalis,"(D'Orbigny &amp; Gervais, 1847)",NA,NA,NA,LC,Argentine Brown Bat
988,7928,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus fuscus,"(Beauvois, 1796)",NA,NA,NA,LC,Big Brown Bat
989,7929,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus guadeloupensis,"Genoways &amp; Baker, 1975",NA,NA,NA,EN,Guadeloupe Big Brown Bat
990,7931,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus hottentotus,"(A. Smith, 1833)",NA,NA,NA,LC,Long-tailed Greater Serotine Bat
991,7932,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus innoxius,"(Gervais, 1841)",NA,NA,NA,NT,Harmless Serotine
992,7933,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus kobayashii,"Mori, 1928",NA,NA,NA,DD,Kobayashi's Serotine
993,7935,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Rhyneptesicus,Rhyneptesicus nasutus,"(Dobson, 1877)",NA,NA,NA,LC,Sind Serotine Bat
994,7936,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus pachyotis,"(Dobson, 1871)",NA,NA,NA,LC,Thick-eared Bat
995,7937,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus platyops,"(Thomas, 1901)",NA,NA,NA,DD,Lagos Serotine
