"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
"8329",22724096,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus mesomelas","(Wagler, 1829)",NA,NA,NA,"LC","Yellow-tailed Oriole"
"8330",22724099,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus auricapillus","Cassin, 1848",NA,NA,NA,"LC","Orange-crowned Oriole"
"8331",22724102,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus graceannae","Cassin, 1867",NA,NA,NA,"LC","White-edged Oriole"
"8332",22724105,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus pectoralis","(Wagler, 1829)",NA,NA,NA,"LC","Spot-breasted Oriole"
"8333",22724108,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus gularis","(Wagler, 1829)",NA,NA,NA,"LC","Altamira Oriole"
"8334",22724111,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus pustulatus","(Wagler, 1829)",NA,NA,NA,"LC","Streak-backed Oriole"
"8335",22724120,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus jamacaii","(Gmelin, 1788)",NA,NA,NA,"LC","Campo Troupial"
"8336",22724126,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus galbula","(Linnaeus, 1758)",NA,NA,NA,"LC","Baltimore Oriole"
"8337",22724131,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus cucullatus","Swainson, 1827",NA,NA,NA,"LC","Hooded Oriole"
"8338",22724139,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus wagleri","Sclater, 1857",NA,NA,NA,"LC","Black-vented Oriole"
"8339",22724147,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus oberi","Lawrence, 1880",NA,NA,NA,"VU","Montserrat Oriole"
"8340",22724150,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus bonana","(Linnaeus, 1766)",NA,NA,NA,"VU","Martinique Oriole"
"8341",22724153,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus laudabilis","Sclater, 1871",NA,NA,NA,"EN","Saint Lucia Oriole"
"8342",22724157,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus maculialatus","Cassin, 1848",NA,NA,NA,"LC","Bar-winged Oriole"
"8343",22724160,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Icterus","Icterus parisorum","Bonaparte, 1838",NA,NA,NA,"LC","Scott's Oriole"
"8344",22724163,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Nesopsar","Nesopsar nigerrimus","(Osburn, 1859)",NA,NA,NA,"EN","Jamaican Blackbird"
"8345",22724166,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Gymnomystax","Gymnomystax mexicanus","(Linnaeus, 1766)",NA,NA,NA,"LC","Oriole Blackbird"
"8346",22724169,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Xanthocephalus","Xanthocephalus xanthocephalus","(Bonaparte, 1826)",NA,NA,NA,"LC","Yellow-headed Blackbird"
"8347",22724172,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Agelasticus","Agelasticus xanthophthalmus","Short, 1969",NA,NA,NA,"LC","Pale-eyed Blackbird"
"8348",22724178,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Agelasticus","Agelasticus thilius","(Molina, 1782)",NA,NA,NA,"LC","Yellow-winged Blackbird"
"8349",22724184,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Agelasticus","Agelasticus cyanopus","Vieillot, 1819",NA,NA,NA,"LC","Unicolored Blackbird"
"8350",22724191,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Agelaius","Agelaius phoeniceus","(Linnaeus, 1766)",NA,NA,NA,"LC","Red-winged Blackbird"
"8351",22724196,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Agelaius","Agelaius tricolor","(Audubon, 1837)",NA,NA,NA,"EN","Tricolored Blackbird"
"8352",22724200,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Chrysomus","Chrysomus icterocephalus","(Linnaeus, 1766)",NA,NA,NA,"LC","Yellow-hooded Blackbird"
"8353",22724206,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Agelaius","Agelaius humeralis","(Vigors, 1827)",NA,NA,NA,"LC","Tawny-shouldered Blackbird"
"8354",22724209,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Agelaius","Agelaius xanthomus","(Sclater, 1862)",NA,NA,NA,"EN","Yellow-shouldered Blackbird"
"8355",22724212,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Chrysomus","Chrysomus ruficapillus","Vieillot, 1819",NA,NA,NA,"LC","Chestnut-capped Blackbird"
"8356",22724218,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Leistes","Leistes superciliaris","(Bonaparte, 1851)",NA,NA,NA,"LC","White-browed Blackbird"
"8357",22724226,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Leistes","Leistes bellicosus","(de Filippi, 1847)",NA,NA,NA,"LC","Peruvian Meadowlark"
"8358",22724229,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Leistes","Leistes defilippii","(Bonaparte, 1850)",NA,NA,NA,"VU","Pampas Meadowlark"
"8359",22724243,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Leistes","Leistes loyca","(Molina, 1782)",NA,NA,NA,"LC","Long-tailed Meadowlark"
"8360",22724256,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Sturnella","Sturnella neglecta","Audubon, 1844",NA,NA,NA,"LC","Western Meadowlark"
"8361",22724259,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Pseudoleistes","Pseudoleistes guirahuro","(Vieilot, 1819)",NA,NA,NA,"LC","Yellow-rumped Marshbird"
"8362",22724262,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Pseudoleistes","Pseudoleistes virescens","(Vieillot, 1819)",NA,NA,NA,"LC","Brown-and-yellow Marshbird"
"8363",22724265,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Amblyramphus","Amblyramphus holosericeus","(Scopoli, 1786)",NA,NA,NA,"LC","Scarlet-headed Blackbird"
"8364",22724268,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Hypopyrrhus","Hypopyrrhus pyrohypogaster","(de Tarragon, 1847)",NA,NA,NA,"VU","Red-bellied Grackle"
"8365",22724271,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Curaeus","Curaeus curaeus","(Molina, 1782)",NA,NA,NA,"LC","Austral Blackbird"
"8366",22724274,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Anumara","Anumara forbesi","(Sclater, 1886)",NA,NA,NA,"VU","Forbes's Blackbird"
"8367",22724277,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Gnorimopsar","Gnorimopsar chopi","(Vieillot, 1819)",NA,NA,NA,"LC","Chopi Blackbird"
"8368",22724280,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Oreopsar","Oreopsar bolivianus","Sclater, 1939",NA,NA,NA,"LC","Bolivian Blackbird"
"8369",22724283,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Lampropsar","Lampropsar tanagrinus","(Spix, 1824)",NA,NA,NA,"LC","Velvet-fronted Grackle"
"8370",22724286,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Macroagelaius","Macroagelaius imthurni","(Sclater, 1881)",NA,NA,NA,"LC","Golden-tufted Grackle"
"8371",22724290,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Macroagelaius","Macroagelaius subalaris","(Boissonneau, 1840)",NA,NA,NA,"EN","Mountain Grackle"
"8372",22724294,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Ptiloxena","Ptiloxena atroviolacea","(d'Orbigny, 1839)",NA,NA,NA,"LC","Cuban Blackbird"
"8373",22724302,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE","Dives","Dives dives","(Deppe, 1830)",NA,NA,NA,"LC","Melodious Blackbird"
