"","IUCN_Species","Avonet_Species","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","category","Mass","Trophic_Niche","Genus","Genus_Avg_Mass","Genus_Trophic_data","Genus_Trophic","Body_Mass","Functional_Group"
"8813","Pseudocolaptes johnsoni","Pseudocolaptes johnsoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",51,"Invertivore","Pseudocolaptes",48.6333333333333,3,"Invertivore",51,"Invertivore"
"8814","Laniisoma buckleyi","Laniisoma buckleyi",0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,"LC",47.1,"Omnivore","Laniisoma",47.25,2,"Omnivore",47.1,"Omnivore"
"8815","Incana incana","Incana incana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",10.4,"Invertivore","Incana",10.4,1,"Invertivore",10.4,"Invertivore"
"8816","Lagonosticta sanguinodorsalis","Lagonosticta sanguinodorsalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",11.4,"Granivore","Lagonosticta",10.0083333333333,12,"Granivore",11.4,"Granivore"
"8817","Vidua maryae","Vidua maryae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",12.8,"Granivore","Vidua",14.6157894736842,19,"Granivore",12.8,"Granivore"
"8818","Atlapetes forbesi","Atlapetes forbesi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",32.2,"Omnivore","Atlapetes",30.0151515151515,33,"Omnivore",32.2,"Omnivore"
"8819","Atlapetes terborghi","Atlapetes terborghi",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,"NT",27.8,"Omnivore","Atlapetes",30.0151515151515,33,"Omnivore",27.8,"Omnivore"
"8820","Atlapetes canigenis","Atlapetes canigenis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",26.6,"Omnivore","Atlapetes",30.0151515151515,33,"Omnivore",26.6,"Omnivore"
"8821","Aerodramus bartschi","Aerodramus bartschi",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,"VU",7.4,"Invertivore","Aerodramus",12.0173913043478,23,"Invertivore",7.4,"Invertivore"
"8822","Trochalopteron ngoclinhense","Trochalopteron ngoclinhense",0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,"EN",76.7,"Invertivore","Trochalopteron",67.0894736842105,19,"Invertivore",76.7,"Invertivore"
"8823","Padda fuscata","Lonchura fuscata",0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,"NT",20.7,"Granivore","Padda",22.75,2,"Granivore",20.7,"Granivore"
"8824","Otus siaoensis","Otus siaoensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR",165,NA,"Otus",107.642592592593,49,"Invertivore",165,"Invertivore"
